# Puppe, Durchmesser in m
# Kopf # Arme # Torso # Beine 
0.02726 0.00824 0.02330 0.01900
0.02786 0.01480 0.02708 0.01734
0.01510 0.01200 0.03874 0.01178
0.01650 0.01412 0.03230 0.01514
0.02300 0.01520 0.03834 0.01694
0.00000 0.01138 0.04230 0.01304
0.00000 0.01270 0.04020 0.00924
0.00000 0.01020 0.03600 0.01708
0.00000 0.01180 0.03472 0.01620
0.00000 0.01384 0.03800 0.01344
